date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:45	31/31	---M--	200	added ('OK')	text/plain	date:Mon,%2021%20Aug%202023%2004:12:29%20GMT	https://www.banouto.bj/robots.txt		(from )
11:54:52	232928/232928	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:54:50%20GMT	https://www.banouto.bj/	www.banouto.bj/index.html	(from )
11:54:53	1887/1887	---MCZ	200	added ('OK')	application/json	date:Sun,%2027%20Oct%202024%2010:54:52%20GMT	https://www.banouto.bj/manifest.json	www.banouto.bj/manifest.json	(from https://www.banouto.bj/)
11:54:59	28902/28902	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/images/icons/splash-640x1136.png	www.banouto.bj/images/icons/splash-640x1136.png	(from https://www.banouto.bj/)
11:55:02	48575/48575	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/images/icons/splash-1125x2436.png	www.banouto.bj/images/icons/splash-1125x2436.png	(from https://www.banouto.bj/)
11:55:02	46945/46945	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/images/icons/icon-512x512.png	www.banouto.bj/images/icons/icon-512x512.png	(from https://www.banouto.bj/)
11:55:02	35121/35121	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/images/icons/splash-750x1334.png	www.banouto.bj/images/icons/splash-750x1334.png	(from https://www.banouto.bj/)
11:55:05	37077/37077	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/images/icons/splash-828x1792.png	www.banouto.bj/images/icons/splash-828x1792.png	(from https://www.banouto.bj/)
11:55:05	48139/48139	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/images/icons/splash-1242x2208.png	www.banouto.bj/images/icons/splash-1242x2208.png	(from https://www.banouto.bj/)
11:55:05	51876/51876	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/images/icons/splash-1242x2688.png	www.banouto.bj/images/icons/splash-1242x2688.png	(from https://www.banouto.bj/)
11:55:05	49947/49947	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/images/icons/splash-1536x2048.png	www.banouto.bj/images/icons/splash-1536x2048.png	(from https://www.banouto.bj/)
11:55:08	54696/54696	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/images/icons/splash-1668x2388.png	www.banouto.bj/images/icons/splash-1668x2388.png	(from https://www.banouto.bj/)
11:55:09	1416/1416	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/serviceworker.js	www.banouto.bj/serviceworker.js	(from https://www.banouto.bj/)
11:55:09	53248/53248	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/images/icons/splash-1668x2224.png	www.banouto.bj/images/icons/splash-1668x2224.png	(from https://www.banouto.bj/)
11:55:10	66249/66249	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/images/icons/splash-2048x2732.png	www.banouto.bj/images/icons/splash-2048x2732.png	(from https://www.banouto.bj/)
11:55:10	208733/208733	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/css/bootstrap.min.css	www.banouto.bj/css/bootstrap.min.css	(from https://www.banouto.bj/)
11:55:10	6603/6603	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Oct%202024%2010:55:10%20GMT	https://www.banouto.bj/fonts/EinsteinRomanOpti.css	www.banouto.bj/fonts/EinsteinRomanOpti.css	(from https://www.banouto.bj/)
11:55:12	56917/56917	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/css/ionicons.css	www.banouto.bj/css/ionicons.css	(from https://www.banouto.bj/)
11:55:13	111022/111022	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/css/line-awesome.css	www.banouto.bj/css/line-awesome.css	(from https://www.banouto.bj/)
11:55:13	77758/77758	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/css/animate.css	www.banouto.bj/css/animate.css	(from https://www.banouto.bj/)
11:55:14	11138/11138	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/css/jquery.fancybox.css	www.banouto.bj/css/jquery.fancybox.css	(from https://www.banouto.bj/)
11:55:16	4210/4210	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/css/lity.css	www.banouto.bj/css/lity.css	(from https://www.banouto.bj/)
11:55:17	13581/13581	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/css/swiper.min.css	www.banouto.bj/css/swiper.min.css	(from https://www.banouto.bj/)
11:55:18	408570/408570	---MCZ	200	added ('OK')	text/css	date:Wed,%2029%20Nov%202023%2014:23:31%20GMT	https://www.banouto.bj/css/style.css	www.banouto.bj/css/style.css	(from https://www.banouto.bj/)
11:55:18	2760/2760	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/css/media-query.css	www.banouto.bj/css/media-query.css	(from https://www.banouto.bj/)
11:55:20	118032/118032	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:55:19%20GMT	https://www.banouto.bj/dossier-special/Affaire%20Olivier%20Boko%20et%20Homeky	www.banouto.bj/dossier-special/Affaire%20Olivier%20Boko%20et%20Homeky.html	(from https://www.banouto.bj/)
11:55:21	5853/5853	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/logo-bnt.png	www.banouto.bj/logo-bnt.png	(from https://www.banouto.bj/)
11:55:22	78070/78070	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:55:22%20GMT	https://www.banouto.bj/recherche	www.banouto.bj/recherche.html	(from https://www.banouto.bj/)
11:55:24	117392/117392	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:55:23%20GMT	https://www.banouto.bj/rubrique/politique	www.banouto.bj/rubrique/politique.html	(from https://www.banouto.bj/)
11:55:25	117685/117685	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:55:25%20GMT	https://www.banouto.bj/rubrique/societe	www.banouto.bj/rubrique/societe.html	(from https://www.banouto.bj/)
11:55:29	116875/116875	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:55:26%20GMT	https://www.banouto.bj/rubrique/economie	www.banouto.bj/rubrique/economie.html	(from https://www.banouto.bj/)
11:55:31	117680/117680	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:55:30%20GMT	https://www.banouto.bj/rubrique/investigation-reportages	www.banouto.bj/rubrique/investigation-reportages.html	(from https://www.banouto.bj/)
11:55:33	117432/117432	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:55:31%20GMT	https://www.banouto.bj/rubrique/bien-etre	www.banouto.bj/rubrique/bien-etre.html	(from https://www.banouto.bj/)
11:55:35	117251/117251	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:55:34%20GMT	https://www.banouto.bj/rubrique/sport	www.banouto.bj/rubrique/sport.html	(from https://www.banouto.bj/)
11:55:37	116625/116625	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:55:36%20GMT	https://www.banouto.bj/rubrique/culture	www.banouto.bj/rubrique/culture.html	(from https://www.banouto.bj/)
11:55:38	116169/116169	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:55:37%20GMT	https://www.banouto.bj/rubrique/vie-stars	www.banouto.bj/rubrique/vie-stars.html	(from https://www.banouto.bj/)
11:55:39	117645/117645	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:55:38%20GMT	https://www.banouto.bj/rubrique/interviews	www.banouto.bj/rubrique/interviews.html	(from https://www.banouto.bj/)
11:55:40	6609/6609	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2027%20Oct%202024%2010:55:40%20GMT	https://www.banouto.bj/dossiers	www.banouto.bj/dossiers	(from https://www.banouto.bj/)
11:55:42	117567/117567	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:55:41%20GMT	https://www.banouto.bj/rubrique/environnement	www.banouto.bj/rubrique/environnement.html	(from https://www.banouto.bj/)
11:55:44	94615/94615	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:55:43%20GMT	https://www.banouto.bj/sport/article/20241027-clasico-le-real-madrid-annonce-une-enquete-pour-insultes-racistes-visant-des-joueur-du-fc-barcelone	www.banouto.bj/sport/article/20241027-clasico-le-real-madrid-annonce-une-enquete-pour-insultes-racistes-visant-des-joueur-du-fc-barcelone.html	(from https://www.banouto.bj/)
11:55:46	95472/95472	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:55:45%20GMT	https://www.banouto.bj/economie/article/20241027-financement-le-benin-va-recevoir-plus-de-74-milliards-fcfa-de-03-institutions-internationales	www.banouto.bj/economie/article/20241027-financement-le-benin-va-recevoir-plus-de-74-milliards-fcfa-de-03-institutions-internationales.html	(from https://www.banouto.bj/)
